"",validDate,stoxxId,freeFloat
28253,20240923,ODP,1.0
10611,20240923,615967,0.4501
9105,20240923,IL70MW,0.6137
10876,20240624,NL106F,0.6518
5326,20240624,AR3015,1.0
1558,20240624,CIEN,1.0
11061,20240923,ID20HE,0.08
3384,20240624,582422,1.0
5412,20240624,ET017,0.4995
25646,20240923,CN7KE4,0.7802
18731,20240624,GB9077,1.0
30470,20240923,JP15HV,0.392
4245,20240923,CA30G5,1.0
4232,20240624,IN06Y9,0.7174
6798,20240923,661942,0.6161
6455,20240624,CN1AMW,0.3873
1837,20240624,CN0F2G,0.6145
8469,20240624,TH00GQ,0.3526
33317,20240923,CN2MPC,0.6331
15473,20240624,CN7C9R,0.677
1012,20240624,689489,0.9477
1760,20240624,CN1GEU,0.7574
24697,20240923,CN29NX,0.3111
13578,20240923,DLR,0.9434
9613,20240624,BE502W,0.7864
6880,20240624,CN7M2U,0.7401
10690,20240923,US9FMW,0.8296
2601,20240624,CN0HJZ,0.595
5507,20240624,KR217L,0.8844
25655,20240923,SE902H,0.7849
13618,20240624,CN0PF3,0.683
11199,20240624,AU1106,0.7043
14651,20240923,US9A8D,1.0
27859,20240923,IN610C,0.4391
3749,20240624,KR06J0,0.8782
5936,20240923,IT102E,0.7658
10522,20240624,CN7FEZ,0.6478
14951,20240624,CN7Q1X,0.5414
4840,20240624,PE00TW,0.0226
6026,20240624,US081V,1.0
7566,20240923,ID00D8,0.1501
32975,20240923,TR40F3,0.3217
3664,20240624,449222,0.384
1629,20240923,KR14BR,0.61
26869,20240923,TH513J,0.6128
8348,20240624,CN8NMG,0.3928
9347,20240624,CN1V4Z,0.6275
809,20240923,CN05AE,0.271
16948,20240923,AU02JP,1.0
15825,20240624,CN84U5,0.7359
7365,20240624,BR10Y1,0.5311
10328,20240923,KR01AM,0.6508
5319,20240923,642536,0.9326
1762,20240624,PKI,1.0
23408,20240923,CN8ZQW,0.8725
33567,20240923,FI31OP,0.235
13392,20240624,CN73MV,0.3701
1941,20240923,AU408G,0.7455
5812,20240923,690055,0.5654
6071,20240923,CN1EHV,0.7345
6628,20240624,HK16PX,0.933
1804,20240624,KR40GV,0.616
11494,20240923,US13E4,0.7023
13645,20240624,B0JSHP,0.1654
