Date;MSCIPriceUSD;Close
3/15/2019;1000.00000;1000
3/18/2019;1010.90144;1010.786093
3/19/2019;1012.09175;1012.046188
3/20/2019;1010.08380;1009.96188
3/21/2019;1010.92408;1010.88912
3/22/2019;1001.61578;1000.515133
3/25/2019;990.34606;989.6735642
3/26/2019;993.23241;992.3284805
3/27/2019;987.49680;986.6937178
3/28/2019;988.19633;987.4545296
3/29/2019;1000.04190;999.5958187
4/1/2019;1011.28451;1011.317076
4/2/2019;1012.23262;1012.077888
4/3/2019;1020.04467;1019.899985
4/4/2019;1020.76225;1020.732123
4/5/2019;1024.73568;1024.956214
4/8/2019;1027.40996;1026.969195
4/9/2019;1032.01968;1031.47859
4/10/2019;1034.54034;1033.943304
4/11/2019;1026.96043;1026.438212
4/12/2019;1028.27817;1027.722082
4/15/2019;1026.22014;1025.35247
4/16/2019;1032.52712;1031.795595
4/17/2019;1035.10197;1034.442586
4/18/2019;1031.10547;1030.14717
4/19/2019;1031.41355;1030.678153
4/22/2019;1028.06439;1027.468478
4/23/2019;1028.42190;1028.22929
4/24/2019;1023.52471;1023.355339
4/25/2019;1016.28297;1015.485691
4/26/2019;1017.10531;1015.874022
4/29/2019;1021.07149;1019.995086
4/30/2019;1017.85027;1016.975614
5/1/2019;1018.97467;1018.211934
5/2/2019;1017.67348;1015.74722
5/3/2019;1021.09389;1019.147098
5/6/2019;1002.57592;1000.206053
5/7/2019;997.61817;995.0309476
5/8/2019;991.75218;989.4516607
5/9/2019;970.82717;968.8304895
5/10/2019;975.52052;973.8946434
5/13/2019;959.01979;957.6085148
5/14/2019;957.38565;956.3959709
5/15/2019;958.95789;958.908235
5/16/2019;954.26490;954.604893
5/17/2019;940.65131;940.3475959
5/20/2019;938.96686;938.0017594
5/21/2019;943.48889;943.2006403
5/22/2019;942.80478;942.7251329
5/23/2019;930.61521;930.6313946
5/24/2019;932.64433;932.5571996
5/27/2019;935.45710;935.7034736
5/28/2019;934.99176;935.8302756
5/29/2019;932.05728;932.6206006
5/30/2019;940.75402;940.609125
5/31/2019;943.78108;943.3987684
6/3/2019;952.79302;952.0767786
6/4/2019;950.45866;949.7626426
6/5/2019;950.09735;949.3505361
6/6/2019;948.03052;947.2424533
6/7/2019;952.33200;951.5933461
6/10/2019;965.40278;963.7504854
6/11/2019;974.52848;973.1100562
6/12/2019;969.42637;967.3960422
6/13/2019;965.95857;964.812452
6/14/2019;959.27314;957.6956911
6/17/2019;955.25940;954.2482624
6/18/2019;966.64722;965.3672106
6/19/2019;979.41270;978.3881884
6/20/2019;994.06734;993.3191209
6/21/2019;993.55095;992.8990894
6/24/2019;993.45921;993.5885751
6/25/2019;986.59656;986.3925631
6/26/2019;988.91250;989.0633297
6/27/2019;995.25025;995.6649575
6/28/2019;995.39971;995.4034284
7/1/2019;1004.00897;1005.507961
7/2/2019;1003.52519;1003.978412
7/3/2019;1000.05618;1000.118877
7/4/2019;1004.81927;1005.13548
7/5/2019;1000.63661;1000.800437
7/8/2019;987.81153;987.1613
7/9/2019;984.16867;983.563294
7/10/2019;990.27064;989.2535326
7/11/2019;996.40205;995.181525
7/12/2019;992.63111;991.7103209
7/15/2019;998.43523;997.2896078
7/16/2019;1000.80624;999.2074877
7/17/2019;995.64148;993.7629279
7/18/2019;992.79874;990.7196805
7/19/2019;997.91246;996.4574698
7/22/2019;994.35915;992.8356884
7/23/2019;995.55016;994.5078895
7/24/2019;995.12587;993.9769062
7/25/2019;994.04554;992.3918815
7/26/2019;989.02481;987.5258557
7/29/2019;985.90163;983.9040743
7/30/2019;983.26750;981.3284092
7/31/2019;978.21213;976.56541
8/1/2019;966.61447;964.7728263
8/2/2019;947.43502;944.9045419
8/5/2019;918.36755;916.0253921
8/6/2019;918.14713;915.3279812
8/7/2019;918.34078;915.3993073
8/8/2019;929.71127;927.5405964
8/9/2019;927.03684;924.7271776
8/12/2019;920.48305;919.9245528
8/13/2019;914.67845;914.5750945
8/14/2019;910.87139;911.4367456
8/15/2019;909.52444;910.049849
8/16/2019;915.60848;916.2710709
8/19/2019;922.38370;923.8633392
8/20/2019;924.59739;925.4245885
8/21/2019;927.76721;928.9671187
