Date;MSCIPriceUSD;Close
3/15/2019;1000.00000;1000.00000
3/18/2019;1007.54373;1008.38126
3/19/2019;1005.48327;1008.48178
3/20/2019;1006.17838;1007.66109
3/21/2019;1004.52304;1005.64849
3/22/2019;996.86638;993.52359
3/25/2019;985.59145;983.03723
3/26/2019;990.89646;987.42518
3/27/2019;987.31583;982.52741
3/28/2019;985.15047;980.74420
3/29/2019;994.03359;991.10077
4/1/2019;1004.71436;1000.93758
4/2/2019;1005.28105;1002.09792
4/3/2019;1010.05585;1008.04717
4/4/2019;1009.47292;1007.04576
4/5/2019;1011.82080;1009.08328
4/8/2019;1010.46584;1008.70396
4/9/2019;1014.56100;1012.51454
4/10/2019;1017.49717;1016.14868
4/11/2019;1014.05816;1011.70761
4/12/2019;1013.84847;1011.56554
4/15/2019;1017.03154;1012.54640
4/16/2019;1018.28675;1013.91171
4/17/2019;1019.95624;1014.51510
4/18/2019;1013.30917;1008.40719
4/19/2019;1016.04106;1010.45924
4/22/2019;1012.36253;1007.77536
4/23/2019;1009.97759;1004.88949
4/24/2019;1005.61908;1000.64155
4/25/2019;999.47784;993.00791
4/26/2019;996.64404;990.75094
4/29/2019;995.61012;991.78658
4/30/2019;994.45086;991.10081
5/1/2019;995.14448;991.87387
5/2/2019;995.01342;976.95065
5/3/2019;996.88183;979.15498
5/6/2019;982.56716;962.53814
5/7/2019;980.24357;959.27539
5/8/2019;973.74335;953.23184
5/9/2019;955.97535;935.16249
5/10/2019;960.08966;939.25019
5/13/2019;939.73780;921.25843
5/14/2019;940.27489;920.00752
5/15/2019;943.18505;924.43541
5/16/2019;937.44197;919.99330
5/17/2019;926.58004;908.52661
5/20/2019;928.96493;907.53159
5/21/2019;932.63910;913.44467
5/22/2019;933.83495;914.86264
5/23/2019;923.97291;904.44604
5/24/2019;928.33762;906.65865
5/27/2019;934.76123;912.46984
5/28/2019;938.15292;916.65567
5/29/2019;932.33399;911.11699
5/30/2019;938.84628;917.71674
5/31/2019;942.84336;921.33140
6/3/2019;945.77294;923.36813
6/4/2019;946.76156;923.25307
6/5/2019;949.13488;924.92418
6/6/2019;945.15989;920.99044
6/7/2019;948.80493;924.89325
6/10/2019;955.70984;933.31824
6/11/2019;963.55607;941.63241
6/12/2019;960.10244;937.41627
6/13/2019;960.26462;938.23552
6/14/2019;953.09556;931.27450
6/17/2019;948.08676;926.46077
6/18/2019;952.77085;932.99929
6/19/2019;959.07652;941.46768
6/20/2019;973.59339;955.84416
6/21/2019;973.17867;955.09551
6/24/2019;973.60652;956.21420
6/25/2019;970.46885;951.62527
6/26/2019;971.60516;953.47422
6/27/2019;976.07953;958.94685
6/28/2019;977.44166;960.46133
7/1/2019;985.09828;968.35218
7/2/2019;984.10725;967.03568
7/3/2019;983.19794;966.28632
7/4/2019;988.27609;971.37046
7/5/2019;986.17368;969.43141
7/8/2019;974.24653;957.60587
7/9/2019;970.01449;952.50027
7/10/2019;975.92340;958.00262
7/11/2019;984.15328;965.83310
7/12/2019;982.32459;963.52806
7/15/2019;982.84654;964.09221
7/16/2019;984.25906;965.26132
7/17/2019;979.29880;960.28149
7/18/2019;977.72384;958.45730
7/19/2019;980.11122;962.52799
7/22/2019;975.99377;957.86674
7/23/2019;974.08245;956.74318
7/24/2019;971.37039;954.04322
7/25/2019;969.66395;951.61615
7/26/2019;966.97869;948.38800
7/29/2019;961.14084;942.82914
7/30/2019;956.97859;940.22084
7/31/2019;957.82159;940.98670
8/1/2019;947.61217;930.87230
8/2/2019;932.34930;913.59712
8/5/2019;903.47663;885.56388
8/6/2019;903.94346;885.17639
8/7/2019;905.81224;886.85834
8/8/2019;920.00412;901.89910
8/9/2019;919.39187;900.58921
8/12/2019;911.25339;895.05138
8/13/2019;901.50692;886.88405
8/14/2019;900.79379;884.46949
8/15/2019;895.57783;880.03410
8/16/2019;899.29740;884.02481
8/19/2019;903.84227;889.54348
8/20/2019;905.77923;891.07535
8/21/2019;911.35369;896.47649
8/22/2019;905.84642;891.95058
8/23/2019;902.20317;888.71070
8/26/2019;887.39712;874.73045
8/27/2019;891.00658;878.53447
8/28/2019;894.00606;881.61318
8/29/2019;896.56306;884.07955
8/30/2019;907.35540;895.87311
9/2/2019;910.26587;899.30464
9/3/2019;902.38714;891.30374
9/4/2019;913.78946;902.83433
9/5/2019;919.83962;909.60301
9/6/2019;922.24356;911.68683
9/9/2019;920.69521;909.53728
9/10/2019;919.58586;910.25362
9/11/2019;927.53900;918.60473
9/12/2019;934.24551;923.64248
9/13/2019;936.90606;926.78452
9/16/2019;936.16686;927.28108
9/17/2019;929.80474;921.16422
9/18/2019;933.97524;924.83259
9/19/2019;930.41970;921.39383
9/20/2019;937.49220;926.57987
9/23/2019;938.44515;922.46938
9/24/2019;935.96881;917.80056
9/25/2019;927.48437;908.63807
9/26/2019;929.88882;910.38163
9/27/2019;925.07460;904.94449
9/30/2019;923.72332;903.86431
10/1/2019;921.92525;900.96965
10/2/2019;916.86748;894.70485
10/3/2019;920.21451;898.10801
10/4/2019;922.83729;901.30827
10/7/2019;922.33129;899.71512
