Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2012-06-18,3592000000.0,4130799999.9999995,1796000000.0,1796000000.0,2065399999.9999998,898000000.0,1387
2012-09-24,3863304187.128002,4442799815.197202,1931652093.564001,1931652093.564001,2221399907.598601,965826046.7820005,1387
2012-12-24,4092347193.048555,4706199272.005837,2046173596.5242774,2046173596.5242774,2353099636.0029187,1023086798.2621387,1387
2013-03-18,4344466065.913974,4996135975.801069,2172233032.956987,2172233032.956987,2498067987.9005346,1086116516.4784935,1340
2013-06-24,4633869686.540382,5328950139.52144,2316934843.270191,2316934843.270191,2664475069.76072,1158467421.6350956,1326
2013-09-23,4627912812.45,5322099734.317499,2313956406.225,2313956406.225,2661049867.1587496,1156978203.1125,1342
2013-12-23,5158396899.485343,5932156434.408144,2579198449.7426715,2579198449.7426715,2966078217.204072,1289599224.8713357,1331
2014-03-24,5284051327.626579,6076659026.770566,2642025663.8132896,2642025663.8132896,3038329513.385283,1321012831.9066448,1354
2014-06-23,5317737200.66325,6115397780.762737,2658868600.331625,2658868600.331625,3057698890.3813686,1329434300.1658125,1346
2014-09-22,5414528698.646704,6226708003.443708,2707264349.323352,2707264349.323352,3113354001.721854,1353632174.661676,1367
2014-12-22,5473054800.0,6294013019.999999,2736527400.0,2736527400.0,3147006509.9999995,1368263700.0,1322
2015-03-23,5484678118.46,6307379836.228999,2742339059.23,2742339059.23,3153689918.1144996,1371169529.615,1339
2015-06-22,5533494791.716629,6363519010.474123,2766747395.8583145,2766747395.8583145,3181759505.2370615,1383373697.9291573,1370
2015-09-21,5016907029.0554285,5769443083.413742,2508453514.5277143,2508453514.5277143,2884721541.706871,1254226757.2638571,1388
2015-12-21,5218089168.88171,6000802544.213966,2609044584.440855,2609044584.440855,3000401272.106983,1304522292.2204275,1360
2016-03-21,4884212414.208313,5616844276.33956,2442106207.1041565,2442106207.1041565,2808422138.16978,1221053103.5520782,1337
2016-06-20,5195638091.599999,5974983805.339999,2597819045.7999997,2597819045.7999997,2987491902.6699996,1298909522.8999999,1369
2016-09-19,5205818919.44,5986691757.355999,2602909459.72,2602909459.72,2993345878.6779995,1301454729.86,1379
2016-12-19,5135670190.0,5906020718.5,2567835095.0,2567835095.0,2953010359.25,1283917547.5,1380
2017-03-20,5455776767.599999,6274143282.739999,2727888383.7999997,2727888383.7999997,3137071641.3699994,1363944191.8999999,1381
2017-06-19,5826480498.7990885,6700452573.618951,2913240249.3995442,2913240249.3995442,3350226286.8094754,1456620124.6997721,1379
2017-09-18,5854823556.1643505,6733047089.589003,2927411778.0821753,2927411778.0821753,3366523544.7945013,1463705889.0410876,1400
2017-12-18,6262400347.0,7201760399.049999,3131200173.5,3131200173.5,3600880199.5249996,1565600086.75,1404
2018-03-19,6395556403.17,7354889863.645499,3197778201.585,3197778201.585,3677444931.8227496,1598889100.7925,1397
2018-06-18,6183987144.0,7111585215.599999,3091993572.0,3091993572.0,3555792607.7999997,1545996786.0,1417
2018-09-24,6444974158.58,7411720282.367,3222487079.29,3222487079.29,3705860141.1835,1611243539.645,1397
2018-12-24,6139271971.41,7060162767.121499,3069635985.705,3069635985.705,3530081383.5607495,1534817992.8525,1350
2019-03-18,6386936118.45,7344976536.217499,3193468059.225,3193468059.225,3672488268.1087494,1596734029.6125,1363
2019-06-24,6234754409.976376,7169967571.472832,3117377204.988188,3117377204.988188,3584983785.736416,1558688602.494094,1342
2019-09-23,6513490335.84,7490513886.216,3256745167.92,3256745167.92,3745256943.108,1628372583.96,1319
2019-12-23,6922917495.759999,7961355120.123999,3461458747.8799996,3461458747.8799996,3980677560.0619993,1730729373.9399998,1325
2020-03-23,6526534608.53983,7505514799.820805,3263267304.269915,3263267304.269915,3752757399.9104023,1631633652.1349576,1279
2020-06-22,6825263937.224084,7849053527.807696,3412631968.612042,3412631968.612042,3924526763.903848,1706315984.306021,1279
2020-09-21,7623706970.587569,8767263016.175703,3811853485.2937846,3811853485.2937846,4383631508.087852,1905926742.6468923,1279
2020-12-21,8169185819.54,9394563692.470999,4084592909.77,4084592909.77,4697281846.235499,2042296454.885,1236
2021-03-22,8470448105.833772,9741015321.708838,4235224052.916886,4235224052.916886,4870507660.854419,2117612026.458443,1285
2021-06-21,9216546487.22,10599028460.302998,4608273243.61,4608273243.61,5299514230.151499,2304136621.805,1261
2021-09-20,9923859589.78926,11412438528.257648,4961929794.89463,4961929794.89463,5706219264.128824,2480964897.447315,1209
2021-12-20,9975140888.619648,11471412021.912594,4987570444.309824,4987570444.309824,5735706010.956297,2493785222.154912,1164
2022-03-21,9549781729.832449,10982248989.307316,4774890864.9162245,4774890864.9162245,5491124494.653658,2387445432.4581122,1167
2022-06-20,8818094126.367579,10140808245.322714,4409047063.183789,4409047063.183789,5070404122.661357,2204523531.5918946,1155
2022-09-19,8349213491.099481,9601595514.764402,4174606745.5497403,4174606745.5497403,4800797757.382201,2087303372.7748702,1144
2022-12-19,8750837133.816256,10063462703.888693,4375418566.908128,4375418566.908128,5031731351.944346,2187709283.454064,1119
2023-03-20,8605208211.439999,9895989443.155998,4302604105.719999,4302604105.719999,4947994721.577999,2151302052.8599997,1154
2023-06-19,9022384497.4824,10375742172.104761,4511192248.7412,4511192248.7412,5187871086.052381,2255596124.3706,1154
2023-09-18,9454009402.917116,10872110813.354683,4727004701.458558,4727004701.458558,5436055406.677341,2363502350.729279,1154
