Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YRSHM,KR,KR623M,1.0,KR7240810002,BZ8TP86,WONIK IPS CO LTD,633973623.0,0.0007300752687490879
2019-03-18,E004YO5VM,KR,KR1J3Y,1.0,KR7200130003,BP9DKY8,KOLMARBNH,249654058.0,0.0002874981653434663
2019-03-18,E004YMQ0N,KR,KR51K1,1.0,KR7115450009,B636JW1,G-TREEBNT,557229118.0,0.0006416973566716785
2019-03-18,E004YMJY0,KR,KR149P,1.0,KR7042700005,B0CSXQ8,HANMI SEMICONDUCTOR,259344678.0,0.0002986577495030825
2019-03-18,E004YRDSP,CN,HK009A,1.0,CNE1000004C8,6797458,SINOPEC SHAI.PETROCHEM. 'H',1673332624.0,0.0019269867402250211
2019-03-18,E004YRB81,CN,CN8BL3,1.0,BMG760581097,6750848,ROAD KING INFR.,489086382.0,0.0005632251229798705
2019-03-18,E004YQHK5,KR,KR19BW,1.0,KR7034310003,6726430,NICE HOLDINGS,379586652.0,0.00043712674615875385
2019-03-18,E004YO4IT,MX,MX204P,1.0,MX01R0000006,BG1Z6X0,REGIONAL S.A.B. DE C.V.,1151635196.0,0.0013262071870466581
2019-03-18,E004YMMPS,CN,HK13KP,1.0,KYG210AW1064,BH35L96,CHINA MERCHANTS LAND,206334199.0,0.00023761161398832013
2019-03-18,E004YN18M,CN,645514,1.0,HK0165000859,6455143,China Everbright Ltd.,1741499820.0,0.002005487141715024
2019-03-18,E004YNPDJ,TW,TW17TQ,1.0,TW0001537009,6432566,Kung Long,359914160.0,0.0004144721760586595
2019-03-18,E004YRDKJ,TW,TW03JB,1.0,TW0002388006,6146823,VIA TECHNOLOGIES,279503858.0,0.0003218727827825684
2019-03-18,E004YMSI8,CN,CN8CXG,1.0,KYG211411098,B4JMX94,CHINA LILANG,538372894.0,0.0006199827895273085
2019-03-18,E004YMYPP,BR,BR1609,1.0,BRCAMLACNOR3,BZ4F3Q2,CAMIL ALIMENTOS,265555109.0,0.0003058095960734763
2019-03-18,E004YPN1K,ZA,ZA13V8,1.0,ZAE000180915,BCDYGW6,INVESTEC PROPERTY,516733242.0,0.0005950628651386928
2019-03-18,E004YQHA7,ZA,ZA00T2,1.0,ZAE000005443,6688068,PICK N PAY STORES,1507349047.0,0.0017358423452693182
2019-03-18,E004YQNR1,TW,TW082Z,1.0,TW0006271000,B1L8PB5,THEIL,515435386.0,0.0005935682720931433
2019-03-18,E004YN2ES,IN,IN04U3,0.4302617,INE246F01010,B0YVBS3,Gujarat Petro,354238570.0,0.0004079362449974399
2019-03-18,E004YPSZX,TH,TH20HT,0.7833733,TH0699010003,6578170,SIAM FUTURE DEVELOPMENT,207435030.0,0.00023887931576488494
2019-03-18,E004YP2UF,PL,B1B59T,1.0,PLFAMUR00012,B1B59T2,FAMUR,402536846.0,0.0004635558726153189
2019-03-18,E004YNYKP,ZA,ZA20JU,1.0,ZAE000190724,BN8SXL8,HYPROP INVESTMENTS,1222145948.0,0.0014074063952605625
2019-03-18,E004YQCTB,CN,CN1G4K,1.0,CNE100000X69,B4YX1N2,CHINA DATANG CORP.RNP. 'H',278336835.0,0.00032052885521294874
2019-03-18,E004YR87A,IN,IN061C,0.8533637,INE175A01038,6312345,Jain Irrigation,265394080.0,0.0003056241573009686
2019-03-18,E004YOP0Y,ID,ID20DA,1.0,ID1000092406,6538527,SUMMARECON AGUNG,566853629.0,0.0006527808106198935
2019-03-18,E004YSK1B,MY,MY30H4,1.0,MYQ0138OO006,B1KL2D6,MY EG SERVICES,721280973.0,0.0008306172072502433
2019-03-18,E004YSMHD,TW,TW11F6,1.0,TW0002404001,6105136,UIS,565659853.0,0.0006514060746649464
2019-03-18,E004YNMY3,CN,CN0PBZ,1.0,CNE100000239,6623360,BEIJING CAPITAL LAND 'H',328411715.0,0.00037819439546142423
2019-03-18,E004YSJI4,KR,KR51FW,1.0,KR7092730001,B1LJQC6,NEOPHARM,284386724.0,0.00032749582383330905
2019-03-18,E004YPM92,TH,TH204G,0.3308629,TH0420010Y01,BYYH5C1,BANGCHAK CORP,344937953.0,0.0003972257829064842
2019-03-18,E004YN7MB,BR,BR02X1,1.0,BRECORACNOR8,B5720R0,EcoRodovias Infr,525391319.0,0.0006050333870394523
2019-03-18,E004YOLH1,KR,KR51HY,1.0,KR7095700001,B3XSP95,GENEXINE,941909689.0,0.001084690189601224
2019-03-18,E004YPXO7,CN,610573,1.0,BMG2154F1095,6105738,CHINA FOODS,285353491.0,0.00032860913935896577
2019-03-18,E004YPFQC,IN,IN12V3,1.0,INE836A01035,B1LQJY0,BIRLASOFT,223578953.0,0.00025747043453590925
2019-03-18,E004YP0FB,CN,CN8BK2,1.0,KYG9891U1334,BDDLRK9,ZHONGYU GAS HOLDINGS,698603379.0,0.0008045020031889338
2019-03-18,E004YRD0U,RU,EV006,1.0,RU000A0DQZE3,B5B6XH9,SISTEMA,564640630.0,0.0006502323515341337
2019-03-18,E004YNU18,PK,PK506K,1.0,PK0061701014,6859251,SEARLE,159813881.0,0.00018403945824873815
2019-03-18,E004YQOIB,TH,TH50WB,0.8274232,TH4547010009,BB968V2,PTG ENERGY,263426983.0,0.00030335887556237715
2019-03-18,E004YMG1L,MX,MX402P,1.0,MX01LA040003,BFNXZM7,GRUPO LALA,728918179.0,0.0008394121082061498
2019-03-18,E004YS2PL,BR,BR2037,1.0,BRPOMOACNPR7,2599131,MARCOPOLO PN,638686784.0,0.0007355028798655409
2019-03-18,E004YR9H1,CN,669377,1.0,KYG5427W1309,6693772,LEE & MAN PAPER MNFG.,1100304840.0,0.001267095857975344
2019-03-18,E004YSKJ7,PK,PK208J,1.0,PK0023901017,6677141,PAKISTAN OILFIELDS,307278420.0,0.0003538575848009612
2019-03-18,E004YNTVA,IN,IN07MY,0.9227872,INE870H01013,B1JRSG0,Network 18 Media,264863033.0,0.0003050126109097973
2019-03-18,E004YOQJV,TW,TW16FB,1.0,TW0005388003,6156770,SERCOMM,435156970.0,0.0005011207569132396
