Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
MX,0.03069803701715827,0.0387757731051446,0.041183414093342814,0.04623742053640598,0.027200907534871845,0.028202469961227144,0.021706730870098074,0.03320181317521701,0.028439750266779272,0.020576280859984447,0.011748048680714562,0.010158370548492019,0.017472648898763522,0.023483503109637184,0.021754006866040364,0.029892932064750292,0.03345343395065374,0.0413573552768761,0.03308678387960333,0.034586714337945544,0.05091206003356824,0.023205271050672754
PL,0.013431307097348907,0.012990475370307163,0.00893135172115832,0.011698116311343073,0.008353955519851209,0.007317678198528262,0.0051746476823825065,0.0038917910970168385,0.004435692550870763,0.008471008306407945,0.019764219911314905,0.013613086648858332,0.009299925214149405,0.012416398338606402,0.007252853848990209,0.008610429692271519,0.014859156151482743,0.009696384569508242,0.014667473612089636,0.017491074705936978,0.021581775154943236,0.020926907652366784
GR,0.0030819915543475887,0.005981398952532639,0.006121761810059176,0.0058577596742661045,0.0042466108887644115,0.006796766354517549,0.0015105094351412038,0.0009924026953488892,0.0013980931045144043,0.0015401356393757427,0.0014906506685596426,0.0015296997109982332,0.001160081735085723,,,,0.0025664841866837105,0.002739023690276985,0.00242421980080805,0.00245267085577716,0.003172155559987799,0.0031669487481020085
RU,0.04473442306845734,0.014790202107920244,0.013367074625932151,0.012845440019861834,0.011568850697068127,0.012592318686250046,0.04997197805368285,0.008596216414015973,0.006698629314561534,0.01018298333251718,0.013190963155261434,0.007016383896619726,,,,,,,,,,
ZA,0.0594558538016602,0.0611752662172129,0.05413658260352645,0.05995187982881655,0.02936435198316702,0.017673576645492912,0.010638584886247894,0.019865586862382916,0.019670044729644412,0.02766487463233306,0.031000233750120523,0.033199157183760375,0.028556392733774243,0.04555237642535047,0.02872690483279132,0.030320131593471234,0.01790402907482082,0.009588761401835847,0.012203577113979198,0.01255188421040711,0.011332770779217282,0.011467194083158976
CL,0.0070431812876081855,0.010532551533828313,0.007384226256515317,0.0058008287207204565,0.003496152492722844,0.0025973283867748893,0.004439632609305959,0.00378132842946465,,,,,0.0022314924537776264,,,,,,0.00281105091989723,0.002767767213093864,0.002801905223385646,0.0024098720430548717
TH,0.016502066314831032,0.025237863393061413,0.024082841993483314,0.022043598317178417,0.01594166240114597,0.023601302524376887,0.01770656522292796,0.016781164462296876,0.012370638320790269,0.011152365205166031,0.013026281848992762,0.010754768726525475,0.015854039313942234,0.005194648458463859,,0.002625356816757289,,0.002162362211264619,,,,
BR,0.09585712366386626,0.10824845724001413,0.12613458668774308,0.12894792844994113,0.10075679317196994,0.09115371328005846,0.09994855880374952,0.07584374228171398,0.05328555899057834,0.07113844401973099,0.0480126256339002,0.031198454677481755,0.03146338921749754,0.03448332008948238,0.03013966452226711,0.0249647626469371,0.02698960028924943,0.0385768102115739,0.03590171865317047,0.035620155886296044,0.028646788904159448,0.014109737395549894
PH,0.004296585429873816,0.00562523871857264,0.008233224930302967,0.005949316240133207,0.004829327081163651,0.004029614444028766,0.0021197576791281572,0.003958190316023871,0.0012899478531968808,0.0026008615847222362,0.0017437495990169011,0.005664123705436706,0.004710795624304796,,,,,,,,,
CO,0.0026260950770610023,0.003866097211489991,0.005704206997337072,0.0035668172318469985,0.00255522569403676,0.0026751350726899603,0.0018536022396939559,0.002557964705022516,,,,,0.001847725714683046,0.004054297558791085,0.0026726817079818803,,,,,,,
