Date,GMSR_Developed,GMSR_Developed_Upper,GMSR_Developed_Lower,GMSR_Emerging,GMSR_Emerging_Upper,GMSR_Emerging_Lower,Rank
2019-03-18,6203000000.0,7133449999.999999,3101500000.0,3101500000.0,3566724999.9999995,1550750000.0,1445
2019-06-24,4761908134.1,5476194354.215,2380954067.05,2380954067.05,2738097177.1075,1190477033.525,1699
2019-09-23,4954993698.02,5698242752.723001,2477496849.01,2477496849.01,2849121376.3615003,1238748424.505,1673
2019-12-23,5332080923.389999,6131893061.898499,2666040461.6949997,2666040461.6949997,3065946530.9492493,1333020230.8474998,1685
2020-03-23,4934716782.450001,5674924299.8175,2467358391.2250004,2467358391.2250004,2837462149.90875,1233679195.6125002,1642
2020-06-22,5039385937.432,5795293828.0468,2519692968.716,2519692968.716,2897646914.0234,1259846484.358,1549
2020-09-21,5851395606.24,6729104947.176,2925697803.12,2925697803.12,3364552473.588,1462848901.56,1529
2020-12-21,6144583000.55,7066270450.6325,3072291500.275,3072291500.275,3533135225.31625,1536145750.1375,1581
2021-03-22,6410787559.799999,7372405693.769999,3205393779.8999996,3205393779.8999996,3686202846.8849993,1602696889.9499998,1632
2021-06-21,7068784362.4788885,8129102016.850721,3534392181.2394443,3534392181.2394443,4064551008.4253607,1767196090.6197221,1611
2021-09-20,7473478433.16473,8594500198.139439,3736739216.582365,3736739216.582365,4297250099.069719,1868369608.2911825,1561
2021-12-20,7397535333.09,8507165633.053499,3698767666.545,3698767666.545,4253582816.5267496,1849383833.2725,1521
2022-03-21,7147578000.0,8219714699.999999,3573789000.0,3573789000.0,4109857349.9999995,1786894500.0,1521
2022-06-20,6481201073.568413,7453381234.603674,3240600536.7842064,3240600536.7842064,3726690617.301837,1620300268.3921032,1516
2022-09-19,6032067042.900001,6936877099.335,3016033521.4500003,3016033521.4500003,3468438549.6675,1508016760.7250001,1512
2022-12-19,6348842648.238519,7301169045.474296,3174421324.1192594,3174421324.1192594,3650584522.737148,1587210662.0596297,1477
2023-03-20,6273757345.95,7214820947.842499,3136878672.975,3136878672.975,3607410473.9212494,1568439336.4875,1521
2023-06-19,6602054346.4545355,7592362498.422715,3301027173.2272677,3301027173.2272677,3796181249.2113576,1650513586.6136339,1406
2023-09-18,7262124896.725307,8351443631.234103,3631062448.3626537,3631062448.3626537,4175721815.6170516,1815531224.1813269,1392
2023-12-18,7415530767.360001,8527860382.464,3707765383.6800003,3707765383.6800003,4263930191.232,1853882691.8400002,1339
2024-03-18,8476039387.496477,9747445295.620949,4238019693.7482386,4238019693.7482386,4873722647.810474,2119009846.8741193,1290
2024-06-24,8663747111.184,9963309177.861599,4331873555.592,4331873555.592,4981654588.9307995,2165936777.796,1275
