Country,2019-03-18,2019-06-24,2019-09-23,2019-12-23,2020-03-23,2020-06-22,2020-09-21,2020-12-21,2021-03-22,2021-06-21,2021-09-20,2021-12-20,2022-03-21,2022-06-20,2022-09-19,2022-12-19,2023-03-20,2023-06-19,2023-09-18,2023-12-18,2024-03-18,2024-06-24
ID,20,22,20,18,14,9,12,12,7,5,6,15,15,2,5,3,3,2,4,3,2,2
CL,5,6,5,5,4,2,4,2,,,,,1,,,,,,1,1,1,1
PH,4,5,7,5,4,3,2,3,1,2,1,4,5,,,,,,,,,
GR,2,3,5,4,3,5,1,1,1,1,1,1,1,,,,1,1,1,1,1,1
KR,82,75,50,53,46,66,69,65,51,65,69,60,67,32,24,23,18,30,42,32,21,18
BR,46,45,46,45,51,38,40,36,22,30,24,16,18,10,8,7,7,12,12,12,9,5
TH,18,23,21,19,14,18,15,14,8,7,7,7,14,2,,1,,1,,,,
PL,11,10,7,8,5,5,5,3,3,5,8,7,5,3,2,2,3,2,4,4,5,5
MY,12,16,12,12,8,5,11,8,7,4,7,9,8,1,1,2,2,1,1,1,2,3
CN,168,156,153,140,156,144,149,137,119,127,79,84,88,53,56,57,60,58,49,43,28,32
PK,3,3,2,4,4,4,3,2,1,1,1,1,1,,,,,,,,,
TW,62,73,70,76,87,97,95,92,69,76,76,97,98,71,70,62,65,82,66,82,69,85
EG,2,2,2,1,1,,,1,,,,,1,,,,,,,,,
TR,5,3,3,3,4,5,4,3,1,,3,,3,3,1,6,4,5,9,6,4,5
RU,17,10,8,7,6,6,7,5,3,5,5,4,,,,,,,,,,
MX,15,17,17,17,14,13,12,14,10,8,5,4,9,6,6,7,7,9,6,6,7,5
CO,1,2,2,1,1,1,1,1,,,,,1,1,1,,,,,,,
ZA,30,29,25,26,16,8,7,10,8,12,13,13,13,11,8,8,6,3,4,4,3,3
IN,69,69,51,47,51,32,74,70,62,66,93,102,104,55,73,72,57,73,88,97,101,109
QA,,,,,,,,,,,,,,,3,2,1,2,2,2,1,1
SA,,,,,,,,,,,,,,,15,14,14,14,15,16,17,15
AE,,,,,,,,,,,,,,,4,2,1,1,1,1,1,1
KW,,,,,,,,,,,,,,,3,4,2,3,3,2,2,2
