Date,ENTITY_QID,Country,Internal_Number,Capfactor,ISIN,SEDOL,Instrument_Name,Mcap_Units_Index_Currency,Weight
2019-03-18,E004YM6IJ,IN,IN08T6,0.4706993,INE089A01023,6410959,Dr Reddys Lab,2284831217.0,0.0004690234792793924
2019-03-18,E004YOSHE,RU,50058A,1.0,RU0009029524,B5BHR47,SURGUTNEFTEGAS PREF.,4762170155.0,0.0009775643812987098
2019-03-18,E004YRAAF,CN,691316,1.0,HK0270001396,6913168,Guangdong Investment Ltd.,5522544470.0,0.0011336517999765091
2019-03-18,E004YPELI,IN,IN032A,0.4617122,INE059A01026,B011108,Cipla Ltd,2139969081.0,0.00043928660307731773
2019-03-18,E004YRDZX,CN,CN88T8,1.0,KYG3777B1032,6531827,GEELY AUTOMOBILE HDG.,10089188873.0,0.0020710792259459013
2019-03-18,E004YOCU4,BR,BR00PR,1.0,BRVIVTACNPR7,B3ZCNF7,TELEFONICA BRASIL PREF.,5774832164.0,0.0011854406809839305
2019-03-18,E004YR9Z4,KR,KR185P,1.0,KR7005383005,6152488,HYUNDAI MOTOR 3RD PF.,144575536.0,0.000029678043791102075
2019-03-18,E004YPUS5,BR,BR00RT,1.0,BRHYPEACNOR0,B2QY968,HYPERA,2975325103.0,0.0006107660475808251
2019-03-18,E004YMBS2,MY,MY70E5,1.0,MYL5284OO004,BF3N1G3,LOTTE CHEMICAL TITAN,604413458.0,0.00012407222944312954
2019-03-18,E004YOJAI,GR,724353,1.0,GRS282183003,7243530,JUMBO,1764745743.0,0.00036226185210833296
2019-03-18,E004YRDDT,CN,CN0098,1.0,CNE1000002Q2,6291819,China Petroleum & Chemical 'H',21808392355.0,0.0044767630903006
2019-03-18,E004YPU7R,KR,KR18N7,1.0,KR7066571001,6520966,LG ELECTRONICS PF.,465980521.0,0.00009565512043502685
2019-03-18,E004YR9B9,CL,CL00DA,1.0,CLP0939W1081,2100845,Banco de Chile,5359871587.0,0.0011002587856473157
2019-03-18,E004YP3YE,TH,TH00PZ,0.4410819,TH0450010Y08,BYTBHS8,THAI UNION GROUP,1056402545.0,0.00021685522916921213
2019-03-18,E004YPWJV,ZA,ZA602H,1.0,ZAE000216537,BZBFKT7,BidCorp Ltd,5789339308.0,0.0011884186651355219
2019-03-18,E004YNJQ0,KR,KR056M,1.0,KR7035720002,6194037,KAKAO CORP,5252103516.0,0.0010781364707736526
2019-03-18,E004YRDKM,RU,NL0019,1.0,US98387E2054,B07T3T9,X5 RETAIL GROUP NV GDR,2819211563.0,0.0005787195160258325
2019-03-18,E004YQRYZ,CN,CN00BA,1.0,CNE1000002M1,B1DYPZ5,China Merchants Bank Co Ltd'H',17836806036.0,0.003661487449922384
2019-03-18,E004YR9M7,CN,CN8AVC,1.0,KYG8878S1030,6903556,TINGYI CYMN.ISLE.HLDG.,5613963913.0,0.0011524181162411928
2019-03-18,E004YRCCL,MY,MY004O,0.7336428,MYL1295OO004,B012W42,Public Bank Bhd,11419173548.0,0.0023440945957533123
2019-03-18,E004YPYM9,CN,CN8B8Q,1.0,BMG0171W1055,BPYM749,ALIBABA PICTURES GROUP,2483874283.0,0.0005098824585541656
2019-03-18,E004YRCXZ,TR,B0D000,1.0,TREBIMM00018,B0D0006,BIM BIRLESIK MAGAZALAR,3536288235.0,0.0007259189210011925
2019-03-18,E004YQJQT,PH,PH30AJ,1.0,PHY5342M1000,B92RW83,LT GROUP,857941164.0,0.0001761156564924033
