STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
KR70ZH;BDVLJ72;KR7271560005;20190318;1;1.0
ZA216I;6134464;ZAE000146932;20190318;1;1.0
CN20AB;6373728;CNE0000018G1;20190318;1;0.1
663094;6630940;HK0257001336;20190318;1;1.0
KR812M;BYX56S9;KR7263750002;20190318;1;1.0
CN2056;B1W9Z06;CNE1000000S2;20190318;1;0.0538117
KR160I;B3L2NF1;KR7086900008;20190318;1;1.0
TW00E3;6348715;TW0001326007;20190318;1;1.0
KR04VA;6505316;KR7030200000;20190318;1;0.49
KR00NY;6560393;KR7035420009;20190318;1;1.0
MY00FZ;6047023;MYL1015OO006;20190318;1;0.5306755
B0D000;B0D0006;TREBIMM00018;20190318;1;1.0
KR053J;B39Z8L3;KR7034730002;20190318;1;1.0
KR00JU;6155250;KR7000810002;20190318;1;1.0
CN0QK9;6310747;CNE0000015Y0;20190318;1;0.0394529
CN30KM;6110602;CNE000000KC1;20190318;1;0.0493583
IN07AM;B28XXH2;INE742F01042;20190318;1;0.9221945
KR02O1;6535432;KR7004990008;20190318;1;1.0
CN0P1P;6706250;CNE100000593;20190318;1;1.0
CN01GG;B24G115;CNE100000759;20190318;1;0.1
CN52BH;B8P39Z7;CNE100001NR0;20190318;1;0.0756811
IN09U8;6802608;INE721A01013;20190318;1;1.0
TW00WL;6056331;TW0001102002;20190318;1;1.0
BR04NT;B08K3S0;BRRENTACNOR4;20190318;1;1.0
CN1022;B433995;CNE100000Q35;20190318;1;1.0
CN8FF1;BH7HM06;KYG2116J1085;20190318;1;1.0
CN40WZ;BJ3WDM8;CNE100001T64;20190318;1;0.081389
IN03EM;6297356;INE016A01026;20190318;1;0.7843137
PL106H;7302215;PLOPTTC00011;20190318;1;1.0
TW071X;B0P6L87;TW0003702007;20190318;1;1.0
CN70PV;BYWKWP4;CNE100002BF8;20190318;1;0.0913798
TW02MD;6519481;TW0002301009;20190318;1;1.0
CN887M;B0WC2B8;BMG653181005;20190318;1;1.0
KR035J;6537096;KR7006360002;20190318;1;1.0
CN0Y1Y;6434551;CNE0000019P0;20190318;1;0.071582
CN0065;6226576;CNE1000003W8;20190318;1;1.0
CN0GCR;6203245;CNE0000011S1;20190318;1;0.0718219
