STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN0YC9;6316057;CNE0000016S0;20190318;1;0.1
CN8108;BF297W0;CNE100002SN6;20190318;1;0.0159438
CN54AI;BV8SL21;CNE100001VW3;20190318;1;0.0112857
CN0ANW;6048015;CNE000000MD5;20190318;1;0.1
CN07Z5;6289977;CNE000001527;20190318;1;0.0402901
CN8AYF;BD1XMJ1;KYG2120F1000;20190318;1;1.0
CN06W1;6780403;CNE000000933;20190318;1;0.1
CN53KR;BXN6298;CNE100001ZY0;20190318;1;0.0813449
CN0TH9;6116956;CNE000000WL7;20190318;1;0.0554426
CN0EIV;6128047;CNE000000XH3;20190318;1;0.0485358
CN086D;6177685;CNE000000KT5;20190318;1;0.0766675
CN20PQ;6011318;CNE0000008K4;20190318;1;0.0421822
CN0Z20;6529532;CNE000001BC8;20190318;1;0.067904
CN0605;B29PXW2;CNE1000008F2;20190318;1;0.0778816
CN0LRB;B2QNK62;CNE1000009X3;20190318;1;0.0541223
CN57U5;BYMW733;CNE100001ZT0;20190318;1;1.0
CN1IHZ;B5MK3F8;CNE1000012X7;20190318;1;0.0503694
CN18CK;B66DNR2;CNE100000ML7;20190318;1;0.0676133
CN06BG;6550930;CNE000000DD4;20190318;1;0.0727449
CN0XRN;6517021;CNE0000019Y2;20190318;1;0.1
CN0FV9;6165163;CNE000001006;20190318;1;0.0756048
CN27KS;B5VPN09;CNE100000QJ2;20190318;1;0.0461823
CN72BJ;BZ3FFP6;CNE100002GR2;20190318;1;0.0558347
CN0Z97;6532897;CNE000001BM7;20190318;1;0.0442413
CN1GBR;B07ZFV3;CNE000001M14;20190318;1;0.0471624
CN84Y9;BFZ07H5;CNE100002SX5;20190318;1;0.0843989
CN723B;BYPH1S8;CNE100002GF7;20190318;1;0.1
CN1F6L;B2PB5H3;CNE1000009K0;20190318;1;0.0508475
CN0QE3;6377098;CNE000001295;20190318;1;0.0556174
CN0WNI;6281508;CNE0000014G0;20190318;1;0.0564865
CN614A;6242390;CNE000001196;20190318;1;0.1
CN0O2P;B5B4NF1;CNE100000HN3;20190318;1;0.0589623
CN039B;6808639;CNE000000B83;20190318;1;0.0554426
CN10YY;B51R1H8;CNE100000T24;20190318;1;0.0388651
CN18T1;B619MD4;CNE100000MK9;20190318;1;0.0815883
635425;6354251;BMG2442N1048;20190318;1;1.0
CN01JJ;B2QQVG8;CNE1000009Y1;20190318;1;0.1
CN40LO;B62G7T5;CNE100000MJ1;20190318;1;0.047081
CN1246;6616519;CNE000001F05;20190318;1;0.0437764
CN17SZ;B00PJD0;CNE000001H86;20190318;1;0.0463822
CN17V2;6523330;CNE000001B82;20190318;1;0.1
CN069E;B1L37D6;CNE000001Q44;20190318;1;0.0560957
CN0829;6246336;CNE0000012K6;20190318;1;0.1
CN852E;BFBCV39;CNE100002TX3;20190318;1;0.0765501
CN0TME;6118383;CNE000000WQ6;20190318;1;0.0533523
