Date;Internal_Number;Instrument_Name;ENTITY_QID;Country;Size;Shadow_Company;ISIN;SEDOL;Instrument_Name_right;Mcap_Units_Index_Currency;Weight;;;;;Date;Index_Symbol;Index_Name;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Exchange;ICB;Free_Float;Shares;Close_unadjusted_local;FX_local_to_Index_Currency;Cutoff;Currency;Close_unadjusted_local_Cutoff;Shares_Cutoff;FX_local_to_Index_Currency_Cutoff;ENTITY_QID;Capfactor;Free_Float_MCAP_USD_Cutoff;Full_MCAP_USD_Cutoff;;;
6/24/2024;PL303G;ALIOR BANK;E004YOKQ6;PL;Standard;FALSE;PLALIOR00045;B8W8F13;ALIOR BANK; 2,167,766,647.00 ; 0.03 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;EW059;PLPGER000010;B544PW9;PGE.WA;PGE;PL;Warsaw Stock Exchange;65101015;0.383;2243712994;6.96;0.249651;5/31/2024;PLN;6.774;2243712994;0.25400098;E004YN489;1; 1,478,586,245.73 ; 3,860,538,500.60 ;;;
6/24/2024;414305;MBANK;E004YO5DY;PL;Standard;FALSE;PLBRE0000012;4143053;MBANK; 2,037,572,658.00 ; 0.03 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;525606;PLBH00000012;5256068;BHW.WA;HANDLOWY;PL;Warsaw Stock Exchange;30101010;0.2499;130659600;108.2;0.249651;5/31/2024;PLN;107.4;130659600;0.25400098;E004YQ1M0;1; 890,732,409.25 ; 3,564,355,379.15 ;;;
6/24/2024;EW059;PGE;E004YN489;PL;Standard;FALSE;PLPGER000010;B544PW9;PGE; 1,493,168,129.00 ; 0.02 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL11CO;NL0015000AU7;BMXNYN0;PCOP.WA;PEPCO GROUP;PL;Warsaw Stock Exchange;40401010;0.2785;576027342;22.35;0.249651;5/31/2024;PLN;24.31;576027342;0.25400098;E004YULR6;1; 990,577,933.60 ; 3,556,832,795.70 ;;;
6/24/2024;555255;ORANGE POLSKA;E004YRAJ6;PL;Standard;FALSE;PLTLKPL00017;5552551;ORANGE POLSKA; 1,343,067,010.00 ; 0.02 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL106H;PLOPTTC00011;7302215;CDR.WA;CD PROJECT SA;PL;Warsaw Stock Exchange;40203040;0.7025;99910510;143.15;0.249651;5/31/2024;PLN;130.3;99910510;0.25400098;E004YSKWW;1; 2,322,936,364.60 ; 3,306,670,981.64 ;;;
6/24/2024;407732;BANK MILLENNIUM;E004YP355;PL;Standard;FALSE;PLBIG0000016;4077323;BANK MILLENNIUM; 1,287,585,677.00 ; 0.02 ;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL303G;PLALIOR00045;B8W8F13;ALRR.WA;ALIOR BANK;PL;Warsaw Stock Exchange;30101010;0.6809;130553991;97.68;0.249651;5/31/2024;PLN;95.66;130553991;0.25400098;E004YOKQ6;1; 2,159,927,907.97 ; 3,172,166,115.40 ;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;407732;PLBIG0000016;4077323;MILP.WA;BANK MILLENNIUM;PL;Warsaw Stock Exchange;30101010;0.499;1213116777;8.52;0.249651;5/31/2024;PLN;8.975;1213116777;0.25400098;E004YP355;1;1379980674;2765492333;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;555255;PLTLKPL00017;5552551;OPL.WA;ORANGE POLSKA;PL;Warsaw Stock Exchange;15102015;0.4933;1312357479;8.31;0.249651;5/31/2024;PLN;8.2;1312357479;0.25400098;E004YRAJ6;1;1348380648;2733388706;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;B04QR1;PLCCC0000016;B04QR13;CCCP.WA;CCC SA;PL;Warsaw Stock Exchange;40401020;0.6667;68868000;135.2;0.249651;5/31/2024;PLN;133.5;68868000;0.25400098;E004YPV4W;1;1556913858;2335254024;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL10CN;PLKRK0000010;B4PTLY0;KRU.WA;KRUK;PL;Warsaw Stock Exchange;30201020;0.9105;19318790;465.4;0.249651;5/31/2024;PLN;456;19318790;0.25400098;E004YPC82;1;2037324027;2237588168;;;
;;;;;;;;;;;;;;;;6/24/2024;SWEACGV;STX EM ACp USD GR;PL701I;PLBNFTS00018;B4XY9X2;BFT.WA;BENEFIT SYSTEMS;PL;Warsaw Stock Exchange;50205020;0.687;2958292;2890;0.249651;5/31/2024;PLN;2915;2958292;0.25400098;E004YMKRL;1;1504775556;2190357432;;;
