Date;MSCIPriceUSD;Close
3/15/2019;1000;1000
3/18/2019;1007.54;1007.889816
3/19/2019;1005.48;1007.445159
3/20/2019;1006.18;1006.715465
3/21/2019;1004.52;1004.822821
3/22/2019;996.87;992.4408264
3/25/2019;985.59;982.259315
3/26/2019;990.9;986.2384275
3/27/2019;987.32;981.0279564
3/28/2019;985.15;978.656451
3/29/2019;994.03;990.582387
4/1/2019;1004.71;1001.299767
4/2/2019;1005.28;1001.619009
4/3/2019;1010.06;1007.7644
4/4/2019;1009.47;1007.365349
4/5/2019;1011.82;1009.873672
4/8/2019;1010.47;1009.018562
4/9/2019;1014.56;1012.96347
4/10/2019;1017.5;1016.942582
4/11/2019;1014.06;1012.883659
4/12/2019;1013.85;1013.487937
4/15/2019;1017.03;1013.921193
4/16/2019;1018.29;1014.719296
4/17/2019;1019.96;1015.905049
4/18/2019;1013.31;1009.70265
4/19/2019;1016.04;1012.302185
4/22/2019;1012.36;1010.135906
4/23/2019;1009.98;1007.37675
4/24/2019;1005.62;1003.352032
4/25/2019;999.48;995.9752816
4/26/2019;996.64;993.3187395
4/29/2019;995.61;993.1933233
4/30/2019;994.45;992.406622
5/1/2019;995.14;992.7942719
5/2/2019;995.01;982.0084827
5/3/2019;996.88;984.9500616
5/6/2019;982.57;968.0302823
5/7/2019;980.24;964.7694623
5/8/2019;973.74;958.4986546
5/9/2019;955.98;938.5460847
5/10/2019;960.09;942.8900442
5/13/2019;939.74;923.3935331
5/14/2019;940.27;923.074292
5/15/2019;943.19;929.3565011
5/16/2019;937.44;924.0206139
5/17/2019;926.58;910.7265016
5/20/2019;928.96;907.9331418
5/21/2019;932.64;914.4091759
5/22/2019;933.83;915.5607242
5/23/2019;923.97;904.8091394
5/24/2019;928.34;906.3597391
5/27/2019;934.76;911.8666484
5/28/2019;938.15;916.0965932
5/29/2019;932.33;910.3046472
5/30/2019;938.85;915.1616728
5/31/2019;942.84;918.6733251
6/3/2019;945.77;920.1099102
6/4/2019;946.76;920.7939983
6/5/2019;949.13;923.1084964
6/6/2019;945.16;919.2890044
6/7/2019;948.8;923.8951977
6/10/2019;955.71;931.8420213
6/11/2019;963.56;940.0510786
6/12/2019;960.1;935.6501117
6/13/2019;960.26;937.18931
6/14/2019;953.1;929.6301364
6/17/2019;948.09;925.6396224
6/18/2019;952.77;931.2377434
6/19/2019;959.08;940.0168742
6/20/2019;973.59;954.8957906
6/21/2019;973.18;954.2117025
6/24/2019;973.61;955.8649154
6/25/2019;970.47;951.1561089
6/26/2019;971.61;952.2164455
6/27/2019;976.08;956.4235874
6/28/2019;977.44;956.4691932
7/1/2019;985.1;964.9518858
7/2/2019;984.11;964.0967757
7/3/2019;983.2;962.1471245
7/4/2019;988.28;966.4112738
7/5/2019;986.17;964.4616227
7/8/2019;974.25;951.2359192
7/9/2019;970.01;946.4815068
7/10/2019;975.92;951.8515985
7/11/2019;984.15;959.1599398
7/12/2019;982.32;956.8796461
7/15/2019;982.85;956.4805947
7/16/2019;984.26;956.9708578
7/17/2019;979.3;952.1138323
7/18/2019;977.72;950.8710722
7/19/2019;980.11;954.8957906
7/22/2019;975.99;951.1219045
7/23/2019;974.08;949.5941077
7/24/2019;971.37;947.8610845
7/25/2019;969.66;943.9047749
7/26/2019;966.98;940.5983491
7/29/2019;961.14;934.5099649
7/30/2019;956.98;932.0586492
7/31/2019;957.82;932.5945182
8/1/2019;947.61;921.6605099
8/2/2019;932.35;905.3222055
8/5/2019;903.48;875.3021389
8/6/2019;903.94;873.0560496
8/7/2019;905.81;876.0318329
8/8/2019;920;891.5720345
8/9/2019;919.39;889.8048069
8/12/2019;911.25;885.0845989
8/13/2019;901.51;877.6052356
8/14/2019;900.79;875.7353947
8/15/2019;895.58;871.6764719
8/16/2019;899.3;876.6817166
8/19/2019;903.84;883.0323346
8/20/2019;905.78;886.0879281
8/21/2019;911.35;892.0736991
8/22/2019;905.85;887.6727322
8/23/2019;902.2;884.5145255
8/26/2019;887.4;869.8750399
8/27/2019;891.01;873.6831304
8/28/2019;894.01;876.6019063
8/29/2019;896.56;879.6346969
8/30/2019;907.36;890.7397273
9/2/2019;910.27;895.2319059
9/3/2019;902.39;888.3112145
9/4/2019;913.79;899.9635153
9/5/2019;919.84;907.2262507
9/6/2019;922.24;909.6433621
9/9/2019;920.7;905.5844393
9/10/2019;919.59;905.2195923
9/11/2019;927.54;913.7364893
9/12/2019;934.25;919.5626397
9/13/2019;936.91;922.5498244
9/16/2019;936.17;922.9260729
9/17/2019;929.8;917.8296165
9/18/2019;933.98;921.8201304
9/19/2019;930.42;919.1521868
9/20/2019;937.49;922.8234597
9/23/2019;938.45;918.3084781
9/24/2019;935.97;914.0443289
9/25/2019;927.48;904.4898983
9/26/2019;929.89;905.333607
9/27/2019;925.07;899.6670771
9/30/2019;923.72;899.3592375
10/1/2019;921.93;898.2076892
10/2/2019;916.87;892.2219182
10/3/2019;920.21;896.8281115
10/4/2019;922.84;900.8984357
10/7/2019;922.33;900.3397638
10/8/2019;922.81;900.7160122
10/9/2019;921.32;899.7810918
10/10/2019;920.87;900.7502166
10/11/2019;927.42;909.2101063
10/14/2019;933.82;917.4761709
10/15/2019;933.74;917.4647695
10/16/2019;935.05;919.9502896
10/17/2019;941.28;924.1802344
10/18/2019;944.98;926.335112
10/21/2019;947.16;929.9493775
10/22/2019;952.85;934.6125781
10/23/2019;952.16;932.469102
10/24/2019;956.16;937.4857482
10/25/2019;952.62;934.0425047
10/28/2019;957.76;938.5802891
10/29/2019;957.26;939.7318375
10/30/2019;955.31;937.2235144
10/31/2019;958.38;939.5152096
11/1/2019;961.83;944.3608337
11/4/2019;969.83;954.9756009
11/5/2019;969.78;955.4088567
11/6/2019;967.53;951.7603867
11/7/2019;968.02;953.4478041
11/8/2019;964.46;951.5779632
11/11/2019;955.6;941.5560724
11/12/2019;957.03;943.71095
11/13/2019;949.13;936.0263602
