Date;MSCI;SAMCO@20241018
1/10/2020;1009.76;997.20
1/13/2020;1018.20;1005.40
1/14/2020;1022.53;1009.37
1/15/2020;1022.08;1009.59
1/16/2020;1025.91;1013.30
1/17/2020;1029.01;1018.41
1/21/2020;1019.27;1006.28
1/22/2020;1023.69;1011.43
1/23/2020;1021.03;1005.50
1/24/2020;1020.78;1005.20
1/27/2020;1009.02;993.78
1/28/2020;1005.18;989.82
1/29/2020;1002.02;982.54
1/30/2020;973.38;952.86
1/31/2020;966.86;946.12
2/3/2020;961.02;941.60
2/4/2020;977.26;960.12
2/5/2020;981.40;964.46
2/6/2020;989.13;974.31
2/7/2020;978.68;964.16
2/10/2020;971.72;958.96
2/11/2020;983.33;970.30
2/12/2020;990.63;978.92
2/13/2020;988.47;977.10
2/14/2020;989.33;977.48
2/18/2020;980.89;970.18
2/19/2020;986.26;975.48
2/20/2020;981.13;970.13
2/21/2020;973.31;961.05
2/24/2020;948.46;937.08
2/25/2020;950.62;939.02
2/26/2020;936.27;926.57
2/27/2020;918.35;911.35
2/28/2020;897.98;889.91
3/2/2020;905.83;901.71
3/3/2020;916.71;911.60
3/4/2020;919.68;914.51
3/5/2020;916.72;913.02
3/6/2020;897.29;893.38
3/9/2020;837.19;838.56
3/10/2020;851.30;850.59
3/11/2020;833.68;834.25
3/12/2020;763.78;768.77
3/13/2020;756.38;761.52
3/16/2020;705.11;710.34
3/17/2020;692.29;698.25
3/18/2020;654.69;658.27
3/19/2020;617.39;623.04
3/20/2020;650.07;656.02
3/23/2020;604.89;614.11
3/24/2020;632.25;644.94
3/25/2020;663.92;678.63
3/26/2020;682.47;697.13
3/27/2020;681.50;695.28
3/30/2020;676.96;689.24
3/31/2020;688.95;701.16
4/1/2020;675.74;686.82
4/2/2020;681.26;692.70
4/3/2020;676.13;687.49
4/6/2020;692.68;704.10
4/7/2020;714.85;724.08
4/8/2020;720.43;728.97
4/9/2020;732.61;741.58
4/13/2020;729.33;737.83
4/14/2020;744.24;752.97
4/15/2020;741.62;749.66
4/16/2020;740.21;749.73
4/17/2020;751.72;761.02
4/20/2020;755.45;765.59
4/21/2020;737.03;747.03
4/22/2020;743.82;754.47
4/23/2020;751.13;759.10
4/24/2020;740.10;746.07
4/27/2020;756.09;763.23
4/28/2020;763.81;771.55
4/29/2020;777.94;785.74
4/30/2020;783.34;788.97
5/1/2020;780.37;785.23
5/4/2020;759.71;764.27
